show,description
Gary: A Sequel to Titus Andronicus,"The show 'Gary: A Sequel to Titus Andronicus' ran from 2019-03-17 to 2019-06-16. It had an average weekly revenue of $321,702.23 and a total revenue of $4,503,831.20."
King Lear,"The show 'King Lear' ran from 2004-02-15 to 2019-06-09. It had an average weekly revenue of $399,146.12 and a total revenue of $9,978,653.03."
Network,"The show 'Network' ran from 2018-11-11 to 2019-06-09. It had an average weekly revenue of $1,045,694.53 and a total revenue of $31,370,835.80."
Pure Yanni,"The show 'Pure Yanni' ran from 2019-06-02 to 2019-06-02. It had an average weekly revenue of $527,137.50 and a total revenue of $527,137.50."
Morrissey,"The show 'Morrissey' ran from 2019-05-12 to 2019-05-12. It had an average weekly revenue of $1,881,374.00 and a total revenue of $1,881,374.00."
The Band's Visit,"The show 'The Band's Visit' ran from 2017-10-08 to 2019-04-07. It had an average weekly revenue of $859,631.12 and a total revenue of $67,910,858.52."
Kinky Boots,"The show 'Kinky Boots' ran from 2013-03-03 to 2019-04-07. It had an average weekly revenue of $999,293.55 and a total revenue of $315,776,760.51."
Anastasia,"The show 'Anastasia' ran from 2017-03-26 to 2019-03-31. It had an average weekly revenue of $881,508.29 and a total revenue of $93,439,878.64."
True West,"The show 'True West' ran from 2000-02-20 to 2019-03-17. It had an average weekly revenue of $303,409.03 and a total revenue of $10,922,724.90."
Choir Boy,"The show 'Choir Boy' ran from 2018-12-16 to 2019-03-10. It had an average weekly revenue of $296,494.64 and a total revenue of $3,854,430.30."
American Son,"The show 'American Son' ran from 2018-10-07 to 2019-01-27. It had an average weekly revenue of $577,131.37 and a total revenue of $9,811,233.27."
The Waverly Gallery,"The show 'The Waverly Gallery' ran from 2018-09-30 to 2019-01-27. It had an average weekly revenue of $426,036.50 and a total revenue of $7,668,657.07."
Mike Birbiglia's The New One,"The show 'Mike Birbiglia's The New One' ran from 2018-10-28 to 2019-01-20. It had an average weekly revenue of $308,244.46 and a total revenue of $4,007,177.94."
School of Rock – The Musical,"The show 'School of Rock – The Musical' ran from 2015-11-15 to 2019-01-20. It had an average weekly revenue of $958,952.70 and a total revenue of $160,145,100.83."
The Lifespan of a Fact,"The show 'The Lifespan of a Fact' ran from 2018-09-23 to 2019-01-13. It had an average weekly revenue of $847,605.05 and a total revenue of $14,409,285.90."
Head Over Heels,"The show 'Head Over Heels' ran from 2018-06-24 to 2019-01-06. It had an average weekly revenue of $245,102.78 and a total revenue of $7,107,980.70."
Once On This Island,"The show 'Once On This Island' ran from 1990-10-07 to 2019-01-06. It had an average weekly revenue of $310,595.61 and a total revenue of $37,892,664.02."
The Play That Goes Wrong,"The show 'The Play That Goes Wrong' ran from 2017-03-12 to 2019-01-06. It had an average weekly revenue of $357,809.15 and a total revenue of $33,991,869.36."
Torch Song,"The show 'Torch Song' ran from 2018-10-14 to 2019-01-06. It had an average weekly revenue of $241,576.77 and a total revenue of $3,140,498.00."
Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,"The show 'Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show' ran from 2018-12-09 to 2018-12-30. It had an average weekly revenue of $141,636.91 and a total revenue of $566,547.65."
Summer: The Donna Summer Musical,"The show 'Summer: The Donna Summer Musical' ran from 2018-04-01 to 2018-12-30. It had an average weekly revenue of $787,263.00 and a total revenue of $31,490,520.00."
Celebrity Autobiography,"The show 'Celebrity Autobiography' ran from 2018-12-02 to 2018-12-23. It had an average weekly revenue of $74,464.67 and a total revenue of $223,394.00."
Springsteen On Broadway,"The show 'Springsteen On Broadway' ran from 2017-10-08 to 2018-12-16. It had an average weekly revenue of $2,174,210.53 and a total revenue of $113,058,947.50."
Bernhardt/Hamlet,"The show 'Bernhardt/Hamlet' ran from 2018-09-02 to 2018-11-18. It had an average weekly revenue of $323,852.89 and a total revenue of $3,886,234.70."
The Nap,"The show 'The Nap' ran from 2018-09-09 to 2018-11-11. It had an average weekly revenue of $181,994.44 and a total revenue of $1,819,944.40."
Carousel,"The show 'Carousel' ran from 1994-02-20 to 2018-09-16. It had an average weekly revenue of $609,178.85 and a total revenue of $46,906,771.58."
Gettin' the Band Back Together,"The show 'Gettin' the Band Back Together' ran from 2018-07-22 to 2018-09-16. It had an average weekly revenue of $227,331.75 and a total revenue of $2,045,985.75."
SpongeBob SquarePants The Broadway Musical,"The show 'SpongeBob SquarePants The Broadway Musical' ran from 2017-11-12 to 2018-09-16. It had an average weekly revenue of $829,229.61 and a total revenue of $37,315,332.25."
Straight White Men,"The show 'Straight White Men' ran from 2018-07-01 to 2018-09-09. It had an average weekly revenue of $329,946.44 and a total revenue of $3,629,410.85."
Hello Dolly!,"The show 'Hello Dolly!' ran from 1995-10-15 to 2018-08-26. It had an average weekly revenue of $1,463,679.94 and a total revenue of $134,658,554.52."
The Boys in the Band,"The show 'The Boys in the Band' ran from 2018-05-06 to 2018-08-12. It had an average weekly revenue of $996,237.98 and a total revenue of $14,943,569.64."
A Bronx Tale The Musical,"The show 'A Bronx Tale The Musical' ran from 2016-11-06 to 2018-08-05. It had an average weekly revenue of $746,988.79 and a total revenue of $68,722,968.44."
Angels in America: A Gay Fantasia on National Themes,"The show 'Angels in America: A Gay Fantasia on National Themes' ran from 2018-02-25 to 2018-07-15. It had an average weekly revenue of $890,141.48 and a total revenue of $18,692,971.00."
Escape to Margaritaville,"The show 'Escape to Margaritaville' ran from 2018-02-18 to 2018-07-01. It had an average weekly revenue of $622,230.02 and a total revenue of $12,444,600.40."
The Iceman Cometh,"The show 'The Iceman Cometh' ran from 1985-09-29 to 2018-07-01. It had an average weekly revenue of $621,884.76 and a total revenue of $22,387,851.20."
Three Tall Women,"The show 'Three Tall Women' ran from 2018-03-04 to 2018-06-24. It had an average weekly revenue of $818,008.95 and a total revenue of $13,906,152.12."
Travesties,"The show 'Travesties' ran from 2018-04-01 to 2018-06-17. It had an average weekly revenue of $362,969.84 and a total revenue of $4,355,638.10."
Saint Joan,"The show 'Saint Joan' ran from 1993-01-24 to 2018-06-10. It had an average weekly revenue of $160,979.62 and a total revenue of $2,897,633.20."
Children of a Lesser God,"The show 'Children of a Lesser God' ran from 2018-03-25 to 2018-05-27. It had an average weekly revenue of $342,426.23 and a total revenue of $3,424,262.30."
Lobby Hero,"The show 'Lobby Hero' ran from 2018-03-04 to 2018-05-13. It had an average weekly revenue of $435,920.35 and a total revenue of $4,795,123.84."
Rocktopia,"The show 'Rocktopia' ran from 2018-03-25 to 2018-04-29. It had an average weekly revenue of $736,572.81 and a total revenue of $4,419,436.84."
Farinelli and the King,"The show 'Farinelli and the King' ran from 2017-12-10 to 2018-03-25. It had an average weekly revenue of $762,115.75 and a total revenue of $12,193,852.00."
The Parisian Woman,"The show 'The Parisian Woman' ran from 2017-11-12 to 2018-03-11. It had an average weekly revenue of $542,879.47 and a total revenue of $9,771,830.51."
John Lithgow: Stories By Heart,"The show 'John Lithgow: Stories By Heart' ran from 2017-12-24 to 2018-03-04. It had an average weekly revenue of $361,018.30 and a total revenue of $3,971,201.30."
Latin History for Morons,"The show 'Latin History for Morons' ran from 2017-10-22 to 2018-02-25. It had an average weekly revenue of $500,528.41 and a total revenue of $9,009,511.40."
The Children,"The show 'The Children' ran from 2017-12-03 to 2018-02-04. It had an average weekly revenue of $239,009.17 and a total revenue of $2,390,091.70."
Meteor Shower,"The show 'Meteor Shower' ran from 2017-11-05 to 2018-01-21. It had an average weekly revenue of $908,710.07 and a total revenue of $10,904,520.78."
Charlie and the Chocolate Factory,"The show 'Charlie and the Chocolate Factory' ran from 2017-04-02 to 2018-01-14. It had an average weekly revenue of $1,039,986.19 and a total revenue of $43,679,420.00."
Miss Saigon,"The show 'Miss Saigon' ran from 1991-03-24 to 2018-01-14. It had an average weekly revenue of $574,257.91 and a total revenue of $321,010,169.47."
Junk,"The show 'Junk' ran from 2017-10-08 to 2018-01-07. It had an average weekly revenue of $470,272.82 and a total revenue of $6,583,819.50."
Cats,"The show 'Cats' ran from 1985-06-09 to 2017-12-31. It had an average weekly revenue of $466,523.77 and a total revenue of $407,275,248.00."
Home for the Holidays,"The show 'Home for the Holidays' ran from 2017-11-19 to 2017-12-31. It had an average weekly revenue of $68,830.85 and a total revenue of $481,815.95."
M. Butterfly,"The show 'M. Butterfly' ran from 1988-03-13 to 2017-12-17. It had an average weekly revenue of $249,180.23 and a total revenue of $27,409,825.77."
Time and the Conways,"The show 'Time and the Conways' ran from 2017-09-17 to 2017-11-26. It had an average weekly revenue of $286,244.57 and a total revenue of $3,148,690.30."
War Paint,"The show 'War Paint' ran from 2017-03-12 to 2017-11-05. It had an average weekly revenue of $729,739.28 and a total revenue of $24,811,135.50."
Prince of Broadway,"The show 'Prince of Broadway' ran from 2017-08-06 to 2017-10-29. It had an average weekly revenue of $320,869.99 and a total revenue of $4,171,309.90."
Michael Moore: The Terms of My Surrender,"The show 'Michael Moore: The Terms of My Surrender' ran from 2017-07-30 to 2017-10-22. It had an average weekly revenue of $323,811.47 and a total revenue of $4,209,549.17."
1984.0,"The show '1984.0' ran from 2017-05-21 to 2017-10-08. It had an average weekly revenue of $326,658.10 and a total revenue of $6,859,820.12."
A Doll's House Part 2,"The show 'A Doll's House Part 2' ran from 2017-04-02 to 2017-09-24. It had an average weekly revenue of $319,409.06 and a total revenue of $8,304,635.51."
Bandstand,"The show 'Bandstand' ran from 2017-04-02 to 2017-09-17. It had an average weekly revenue of $539,491.54 and a total revenue of $13,487,288.49."
Groundhog Day,"The show 'Groundhog Day' ran from 2017-03-19 to 2017-09-17. It had an average weekly revenue of $725,382.67 and a total revenue of $19,585,332.20."
Natasha Pierre & The Great Comet of 1812,"The show 'Natasha Pierre & The Great Comet of 1812' ran from 2016-10-23 to 2017-09-03. It had an average weekly revenue of $1,088,465.07 and a total revenue of $50,069,393.21."
Marvin's Room,"The show 'Marvin's Room' ran from 2017-06-11 to 2017-08-27. It had an average weekly revenue of $197,166.98 and a total revenue of $2,366,003.76."
On Your Feet!,"The show 'On Your Feet!' ran from 2015-10-11 to 2017-08-20. It had an average weekly revenue of $852,771.39 and a total revenue of $83,571,595.90."
Indecent,"The show 'Indecent' ran from 2017-04-09 to 2017-08-06. It had an average weekly revenue of $342,175.08 and a total revenue of $6,159,151.50."
Oslo,"The show 'Oslo' ran from 2017-03-26 to 2017-07-16. It had an average weekly revenue of $639,720.79 and a total revenue of $10,875,253.50."
The Little Foxes,"The show 'The Little Foxes' ran from 1997-04-06 to 2017-07-02. It had an average weekly revenue of $318,920.67 and a total revenue of $7,973,016.80."
Present Laughter,"The show 'Present Laughter' ran from 1996-10-27 to 2017-07-02. It had an average weekly revenue of $360,346.45 and a total revenue of $19,819,054.80."
Sunset Boulevard,"The show 'Sunset Boulevard' ran from 1994-11-06 to 2017-06-25. It had an average weekly revenue of $730,710.33 and a total revenue of $105,952,998.20."
Sweat,"The show 'Sweat' ran from 2017-03-05 to 2017-06-25. It had an average weekly revenue of $287,144.50 and a total revenue of $4,881,456.58."
Six Degrees of Separation,"The show 'Six Degrees of Separation' ran from 1990-11-04 to 2017-06-18. It had an average weekly revenue of $259,921.05 and a total revenue of $18,714,315.50."
Amélie A New Musical,"The show 'Amélie A New Musical' ran from 2017-03-12 to 2017-05-21. It had an average weekly revenue of $482,470.49 and a total revenue of $5,307,175.40."
The Glass Menagerie,"The show 'The Glass Menagerie' ran from 1994-10-30 to 2017-05-21. It had an average weekly revenue of $378,495.82 and a total revenue of $24,980,723.96."
The Price,"The show 'The Price' ran from 1992-05-24 to 2017-05-14. It had an average weekly revenue of $278,013.93 and a total revenue of $11,120,557.30."
Significant Other,"The show 'Significant Other' ran from 2017-02-19 to 2017-04-23. It had an average weekly revenue of $170,746.60 and a total revenue of $1,707,466.00."
Sunday in the Park with George,"The show 'Sunday in the Park with George' ran from 1985-06-09 to 2017-04-23. It had an average weekly revenue of $416,495.87 and a total revenue of $21,657,785.00."
Cirque du Soleil Paramour,"The show 'Cirque du Soleil Paramour' ran from 2016-04-17 to 2017-04-16. It had an average weekly revenue of $944,742.64 and a total revenue of $50,071,359.67."
In Transit,"The show 'In Transit' ran from 2016-11-13 to 2017-04-16. It had an average weekly revenue of $264,172.05 and a total revenue of $6,075,957.18."
The Present,"The show 'The Present' ran from 2016-12-18 to 2017-03-19. It had an average weekly revenue of $777,213.34 and a total revenue of $10,880,986.77."
Jitney,"The show 'Jitney' ran from 2017-01-01 to 2017-03-12. It had an average weekly revenue of $327,158.15 and a total revenue of $3,598,739.70."
The Front Page,"The show 'The Front Page' ran from 1986-11-02 to 2017-01-29. It had an average weekly revenue of $771,172.54 and a total revenue of $23,135,176.29."
Oh Hello on Broadway,"The show 'Oh Hello on Broadway' ran from 2016-09-25 to 2017-01-22. It had an average weekly revenue of $564,450.98 and a total revenue of $10,160,117.70."
Holiday Inn The New Irving Berlin Musical,"The show 'Holiday Inn The New Irving Berlin Musical' ran from 2016-09-04 to 2017-01-15. It had an average weekly revenue of $507,152.37 and a total revenue of $10,143,047.35."
The Humans,"The show 'The Humans' ran from 2016-01-24 to 2017-01-15. It had an average weekly revenue of $488,823.99 and a total revenue of $24,441,199.60."
Jersey Boys,"The show 'Jersey Boys' ran from 2005-10-09 to 2017-01-15. It had an average weekly revenue of $948,074.85 and a total revenue of $558,416,084.26."
